연도,월,지역,국가,관광객수
2012,7,미주,브라질,4330
2012,7,미주,도미니카공화국,235
2012,7,미주,자메이카,42
2012,7,미주,과테말라,894
2012,7,미주,칠레,552
2012,7,미주,코스타리카,292
2012,7,미주,파나마,377
2012,7,미주,멕시코,3705
2012,7,미주,에콰도르,24
2012,8,미주,미국,131807
2012,8,미주,캐나다,16770
2012,8,미주,브라질,4174
2012,8,미주,도미니카공화국,129
2012,8,미주,자메이카,17
2012,8,미주,과테말라,701
2012,8,미주,칠레,535
2012,8,미주,코스타리카,275
2012,8,미주,파나마,348
2012,8,미주,멕시코,3720
2012,8,미주,에콰도르,31
2012,9,미주,미국,103249
2012,9,미주,캐나다,14101
2012,9,미주,브라질,3690
2012,9,미주,도미니카공화국,195
2012,9,미주,자메이카,22
2012,9,미주,과테말라,603
2012,9,미주,칠레,681
2012,9,미주,코스타리카,209
2012,9,미주,파나마,357
2012,9,미주,멕시코,3063
2012,9,미주,에콰도르,34
2012,10,미주,미국,104436
2012,10,미주,캐나다,13617
2012,10,미주,브라질,4139
2012,10,미주,도미니카공화국,148
2012,10,미주,자메이카,38
2012,10,미주,과테말라,563
2012,10,미주,칠레,719
2012,10,미주,코스타리카,242
2012,10,미주,파나마,326
2012,10,미주,멕시코,3779
2012,10,미주,에콰도르,35
2012,11,미주,미국,99150
2012,11,미주,캐나다,7292
2012,11,미주,브라질,4029
2012,11,미주,도미니카공화국,171
2012,11,미주,자메이카,20
2012,11,미주,과테말라,541
2012,11,미주,칠레,1163
2012,11,미주,코스타리카,302
2012,11,미주,파나마,376
2012,11,미주,멕시코,4815
2012,11,미주,에콰도르,37
2012,12,미주,미국,117606
2012,12,미주,캐나다,11221
2012,12,미주,브라질,3552
2012,12,미주,도미니카공화국,168
2012,12,미주,자메이카,32
2012,12,미주,과테말라,756
2012,12,미주,칠레,1071
2012,12,미주,코스타리카,377
2012,12,미주,파나마,357
2012,12,미주,멕시코,5886
2012,12,미주,에콰도르,27
2013,1,미주,미국,135766
2013,1,미주,캐나다,10429
2013,1,미주,브라질,44339
2013,1,미주,도미니카공화국,210
2013,1,미주,자메이카,13
2013,1,미주,과테말라,1027
2013,1,미주,칠레,1870
2013,1,미주,코스타리카,385
2013,1,미주,파나마,399
2013,1,미주,페루,11175
2013,1,미주,멕시코,5049
2013,1,미주,에콰도르,22
2013,2,미주,미국,91720
2013,2,미주,캐나다,8325
2013,2,미주,브라질,44339
2013,2,미주,도미니카공화국,176
2013,2,미주,자메이카,33
2013,2,미주,과테말라,614
2013,2,미주,칠레,1089
2013,2,미주,코스타리카,247
2013,2,미주,파나마,425
2013,2,미주,멕시코,3699
2013,2,미주,에콰도르,18
2013,3,미주,미국,92551
2013,3,미주,캐나다,8175
2013,3,미주,브라질,44339
2013,3,미주,도미니카공화국,252
2013,3,미주,자메이카,30
2013,3,미주,과테말라,852
2013,3,미주,칠레,1113
2013,3,미주,코스타리카,352
2013,3,미주,파나마,370
2013,3,미주,멕시코,5157
2013,3,미주,에콰도르,23
2013,4,미주,미국,94652
2013,4,미주,캐나다,8842
2013,4,미주,브라질,44339
2013,4,미주,도미니카공화국,156
2013,4,미주,자메이카,36
2013,4,미주,과테말라,633
2013,4,미주,칠레,888
2013,4,미주,코스타리카,220
2013,4,미주,파나마,315
2013,4,미주,멕시코,4383
2013,4,미주,에콰도르,26
2013,5,미주,미국,120355
2013,5,미주,캐나다,13985
2013,5,미주,브라질,44339
2013,5,미주,도미니카공화국,126
2013,5,미주,자메이카,56
2013,5,미주,과테말라,712
2013,5,미주,칠레,701
2013,5,미주,코스타리카,273
2013,5,미주,파나마,272
2013,5,미주,멕시코,4695
2013,5,미주,에콰도르,32
2013,6,미주,미국,131007
2013,6,미주,캐나다,18518
2013,6,미주,브라질,44339
2013,6,미주,도미니카공화국,286
2013,6,미주,자메이카,59
2013,6,미주,과테말라,726
2013,6,미주,칠레,554
2013,6,미주,코스타리카,241
2013,6,미주,파나마,287
2013,6,미주,멕시코,4699
2013,6,미주,에콰도르,21
2013,7,미주,미국,151207
2013,7,미주,캐나다,24728
2013,7,미주,브라질,44339
2013,7,미주,도미니카공화국,226
2013,7,미주,자메이카,24
2013,7,미주,과테말라,657
2013,7,미주,칠레,657
2013,7,미주,코스타리카,326
2013,7,미주,파나마,311
2013,7,미주,멕시코,4697
2013,7,미주,에콰도르,23
2013,8,미주,미국,143227
2013,8,미주,캐나다,18046
2013,8,미주,브라질,44339
2013,8,미주,도미니카공화국,438
2013,8,미주,자메이카,22
